|dates|LaSalle_Texas_UnitedStates.BLS_EmployedPopulation.data|LaSalle_Texas_UnitedStates.BLS_EmployedPopulation.missing|LaSalle_Texas_UnitedStates.BLS_UnemployedPopulation.data|LaSalle_Texas_UnitedStates.BLS_UnemployedPopulation.missing|LaSalle_Texas_UnitedStates.BLS_UnemploymentRate.data|LaSalle_Texas_UnitedStates.BLS_UnemploymentRate.missing|LaSalle_Texas_UnitedStates.BLS_LaborForcePopulation.data|LaSalle_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-02|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-03|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-04|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-05|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-06|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-07|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-08|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-09|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-10|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-11|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-12|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-13|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-14|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-15|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-16|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-17|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-18|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
0|2020-01-19|4181.5|0|120.0|0|2.789724514704173|0|4301.5|0
