|dates|Bexar_Texas_UnitedStates.BLS_EmployedPopulation.data|Bexar_Texas_UnitedStates.BLS_EmployedPopulation.missing|Bexar_Texas_UnitedStates.BLS_UnemployedPopulation.data|Bexar_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Bexar_Texas_UnitedStates.BLS_UnemploymentRate.data|Bexar_Texas_UnitedStates.BLS_UnemploymentRate.missing|Bexar_Texas_UnitedStates.BLS_LaborForcePopulation.data|Bexar_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-02|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-03|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-04|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-05|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-06|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-07|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-08|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-09|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-10|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-11|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-12|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-13|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-14|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-15|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-16|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-17|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-18|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-19|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-20|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-21|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-22|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-23|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
0|2020-01-24|924274.0|0|31036.5|0|3.2488389900456447|0|955310.5|0
