|dates|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Barnstable_Massachusetts_UnitedStates.Male_Total_Population.data|Barnstable_Massachusetts_UnitedStates.Male_Total_Population.missing|Barnstable_Massachusetts_UnitedStates.Female_Total_Population.data|Barnstable_Massachusetts_UnitedStates.Female_Total_Population.missing|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Barnstable_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-02|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-03|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-04|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-05|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-06|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-07|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-08|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-09|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-10|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-11|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-12|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-13|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-14|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-15|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-16|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-17|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-18|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-19|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-20|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-21|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-22|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-23|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-24|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-25|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-26|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-27|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-28|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-29|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-30|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-01-31|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-02-01|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-02-02|65299.0|0|102092.0|0|111321.0|0|32172.0|0
0|2020-02-03|65299.0|0|102092.0|0|111321.0|0|32172.0|0
