|dates|Jackson_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jackson_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jackson_Colorado_UnitedStates.Male_Total_Population.data|Jackson_Colorado_UnitedStates.Male_Total_Population.missing|Jackson_Colorado_UnitedStates.Female_Total_Population.data|Jackson_Colorado_UnitedStates.Female_Total_Population.missing|Jackson_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Jackson_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-02|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-03|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-04|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-05|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-06|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-07|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-08|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-09|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-10|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-11|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-12|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-13|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-14|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-15|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-16|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-17|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-18|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-19|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-20|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-21|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-22|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-23|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-24|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-25|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-26|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-27|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-28|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-29|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-30|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-01-31|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-01|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-02|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-03|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-04|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-05|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-06|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-07|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-08|311.0|0|724.0|0|675.0|0|239.0|0
0|2020-02-09|311.0|0|724.0|0|675.0|0|239.0|0
