|dates|Spencer_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Spencer_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Spencer_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Spencer_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Spencer_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Spencer_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Spencer_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Spencer_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-02|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-03|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-04|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-05|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-06|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-07|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-08|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-09|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-10|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-11|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-12|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-13|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-14|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-15|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-16|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-17|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-18|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-19|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-20|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-21|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-22|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-23|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-24|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-25|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-26|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-27|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-28|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-29|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-30|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-01-31|10027.0|0|383.0|0|3.6791546589817483|0|10410.0|0
0|2020-02-01|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-02|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-03|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-04|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-05|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-06|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-07|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-08|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-09|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-10|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-11|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-12|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-13|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-14|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-15|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-16|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
0|2020-02-17|10082.5|0|350.0|0|3.3549005511622334|0|10432.5|0
