|dates|Crawford_Michigan_UnitedStates.BLS_EmployedPopulation.data|Crawford_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Crawford_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Crawford_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Crawford_Michigan_UnitedStates.BLS_UnemploymentRate.data|Crawford_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Crawford_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Crawford_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-02|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-03|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-04|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-05|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-06|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-07|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-08|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-09|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-10|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-11|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-12|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-13|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-14|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-15|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-16|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-17|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-18|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-19|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-20|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-21|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-22|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
0|2020-01-23|5188.0|0|387.5|0|6.950049322930679|0|5575.5|0
