|dates|Osage_Kansas_UnitedStates.BLS_EmployedPopulation.data|Osage_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Osage_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Osage_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Osage_Kansas_UnitedStates.BLS_UnemploymentRate.data|Osage_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Osage_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Osage_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-02|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-03|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-04|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-05|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-06|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-07|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-08|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-09|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-10|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-11|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-12|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-13|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-14|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-15|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-16|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-17|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-18|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-19|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-20|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-21|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-22|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-23|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-24|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-25|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-26|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
0|2020-01-27|7667.5|0|331.0|0|4.138275926736263|0|7998.5|0
