|dates|Fayette_Indiana_UnitedStates.BLS_EmployedPopulation.data|Fayette_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Fayette_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Fayette_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Fayette_Indiana_UnitedStates.BLS_UnemploymentRate.data|Fayette_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Fayette_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Fayette_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-02|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-03|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-04|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-05|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-06|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-07|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-08|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-09|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-10|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-11|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-12|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-13|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-14|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-15|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-16|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-17|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-18|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-19|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-20|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-21|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-22|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-23|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-24|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-25|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-26|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-27|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-28|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-29|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-30|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-01-31|8124.5|0|425.5|0|4.976608187134503|0|8550.0|0
0|2020-02-01|8130.5|0|381.5|0|4.4819078947368425|0|8512.0|0
0|2020-02-02|8130.5|0|381.5|0|4.4819078947368425|0|8512.0|0
