|dates|SanJuan_Colorado_UnitedStates.BLS_EmployedPopulation.data|SanJuan_Colorado_UnitedStates.BLS_EmployedPopulation.missing|SanJuan_Colorado_UnitedStates.BLS_UnemployedPopulation.data|SanJuan_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|SanJuan_Colorado_UnitedStates.BLS_UnemploymentRate.data|SanJuan_Colorado_UnitedStates.BLS_UnemploymentRate.missing|SanJuan_Colorado_UnitedStates.BLS_LaborForcePopulation.data|SanJuan_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-02|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-03|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-04|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-05|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-06|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-07|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-08|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-09|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-10|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-11|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-12|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-13|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-14|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-15|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-16|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-17|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-18|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-19|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-20|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-21|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-22|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-23|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-24|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-25|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-26|495.0|0|17.0|0|3.3203125|0|512.0|0
0|2020-01-27|495.0|0|17.0|0|3.3203125|0|512.0|0
