|dates|Otero_Colorado_UnitedStates.BLS_EmployedPopulation.data|Otero_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Otero_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Otero_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Otero_Colorado_UnitedStates.BLS_UnemploymentRate.data|Otero_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Otero_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Otero_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-02|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-03|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-04|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-05|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-06|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-07|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-08|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-09|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-10|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-11|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-12|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-13|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-14|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-15|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-16|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-17|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-18|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-19|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
0|2020-01-20|7892.0|0|346.0|0|4.20004855547463|0|8238.0|0
