|dates|Kitsap_Washington_UnitedStates.BLS_EmployedPopulation.data|Kitsap_Washington_UnitedStates.BLS_EmployedPopulation.missing|Kitsap_Washington_UnitedStates.BLS_UnemployedPopulation.data|Kitsap_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Kitsap_Washington_UnitedStates.BLS_UnemploymentRate.data|Kitsap_Washington_UnitedStates.BLS_UnemploymentRate.missing|Kitsap_Washington_UnitedStates.BLS_LaborForcePopulation.data|Kitsap_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-02|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-03|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-04|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-05|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-06|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-07|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-08|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-09|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-10|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-11|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-12|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-13|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-14|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-15|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-16|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-17|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-18|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-19|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-20|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-21|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-22|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-23|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-24|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-25|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-26|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-27|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-28|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-29|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-30|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-01-31|126074.5|0|6022.0|0|4.558788461465671|0|132096.5|0
0|2020-02-01|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-02|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-03|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-04|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-05|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-06|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-07|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-08|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-09|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-10|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-11|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-12|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-13|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-14|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-15|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-16|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-17|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-18|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-19|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-20|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-21|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-22|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-23|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-24|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-25|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-26|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-27|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-28|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-02-29|126930.0|0|5842.0|0|4.400024101467177|0|132772.0|0
0|2020-03-01|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-02|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-03|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-04|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-05|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-06|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-07|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-08|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-09|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-10|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-11|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-12|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-13|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-14|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-15|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-16|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-17|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-18|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-19|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-20|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-21|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-22|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-23|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-24|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-25|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-26|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
0|2020-03-27|124129.5|0|6108.5|0|4.690259371304842|0|130238.0|0
