|dates|SantaClara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SantaClara_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SantaClara_California_UnitedStates.Male_Total_Population.data|SantaClara_California_UnitedStates.Male_Total_Population.missing|SantaClara_California_UnitedStates.Female_Total_Population.data|SantaClara_California_UnitedStates.Female_Total_Population.missing|SantaClara_California_UnitedStates.MaleAndFemale_Under18_Population.data|SantaClara_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-02|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-03|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-04|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-05|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-06|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-07|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-08|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-09|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-10|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-11|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-12|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-13|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-14|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-15|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-16|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-17|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-18|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-19|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-20|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-21|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-22|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-23|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-24|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-25|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-26|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-27|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-28|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-29|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-30|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-01-31|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-01|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-02|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-03|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-04|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-05|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-06|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-07|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-08|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-09|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-10|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-11|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-12|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-13|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-14|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-15|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-16|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-17|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-18|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-19|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-20|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-21|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-22|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-23|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-24|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-25|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-26|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-27|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-28|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-02-29|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-01|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-02|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-03|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-04|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-05|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-06|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-07|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-08|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-09|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-10|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-11|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-12|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-13|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-14|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-15|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-16|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-17|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-18|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-19|261131.0|0|980868.0|0|956702.0|0|424427.0|0
0|2020-03-20|261131.0|0|980868.0|0|956702.0|0|424427.0|0
