|dates|Thomas_Kansas_UnitedStates.BLS_EmployedPopulation.data|Thomas_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Thomas_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Thomas_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Thomas_Kansas_UnitedStates.BLS_UnemploymentRate.data|Thomas_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Thomas_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Thomas_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-02|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-03|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-04|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-05|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-06|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-07|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-08|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-09|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-10|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-11|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-12|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-13|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-14|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-15|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-16|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-17|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-18|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-19|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-20|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-21|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-22|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-23|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-24|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-25|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-26|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-27|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-28|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-29|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-30|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-01-31|4129.0|0|94.5|0|2.2374807624008524|0|4223.5|0
0|2020-02-01|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-02|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-03|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-04|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-05|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-06|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-07|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-08|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-09|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-10|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-11|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-12|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-13|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-14|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-15|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-16|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-17|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-18|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
0|2020-02-19|4168.0|0|87.0|0|2.044653349001175|0|4255.0|0
