|dates|Linn_Iowa_UnitedStates.BLS_EmployedPopulation.data|Linn_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Linn_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Linn_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Linn_Iowa_UnitedStates.BLS_UnemploymentRate.data|Linn_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Linn_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Linn_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-02|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-03|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-04|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-05|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-06|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-07|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-08|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-09|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-10|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-11|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-12|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-13|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-14|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-15|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-16|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-17|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-18|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-19|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-20|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
0|2020-01-21|119386.0|0|4471.5|0|3.610197202430212|0|123857.5|0
