|dates|Weston_Wyoming_UnitedStates.AveragePrecipitationTotal.data|Weston_Wyoming_UnitedStates.AveragePrecipitationTotal.missing|Weston_Wyoming_UnitedStates.AveragePrecipitation.data|Weston_Wyoming_UnitedStates.AveragePrecipitation.missing|Weston_Wyoming_UnitedStates.AverageWindDirection.data|Weston_Wyoming_UnitedStates.AverageWindDirection.missing|Weston_Wyoming_UnitedStates.AverageWindSpeed.data|Weston_Wyoming_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-02|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-03|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-04|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-05|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-06|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-07|0.0|0|0.0|0|61.041666666666664|0|2.6041666666666665|0
0|2020-01-08|0.0|0|0.0|0|112.1875|0|4.989583333333333|0
0|2020-01-09|0.0|0|0.0|0|99.16666666666667|0|2.8125|0
0|2020-01-10|0.0|0|0.0|0|192.8125|0|7.104166666666667|0
0|2020-01-11|0.0|0|0.0|0|103.4375|0|4.84375|0
0|2020-01-12|0.0|0|0.0|0|98.4375|0|4.817708333333333|0
0|2020-01-13|0.0|0|0.0|0|173.85416666666666|0|7.385416666666667|0
0|2020-01-14|0.0|0|0.0|0|168.17708333333334|0|9.713541666666666|0
0|2020-01-15|0.0|0|0.0|0|159.6875|0|6.854166666666667|0
0|2020-01-16|0.0|0|0.0|0|130.41666666666666|0|14.416666666666666|0
0|2020-01-17|0.0|0|0.0|0|195.83333333333334|0|12.135416666666666|0
0|2020-01-18|0.0|0|0.0|0|318.5416666666667|0|11.739583333333334|0
0|2020-01-19|0.0|0|0.0|0|112.91666666666667|0|3.78125|0
0|2020-01-20|0.0|0|0.0|0|97.29166666666667|0|6.71875|0
0|2020-01-21|0.0|0|0.0|0|71.14583333333333|0|4.895833333333333|0
0|2020-01-22|0.0|0|0.0|0|201.875|0|6.0625|0
0|2020-01-23|0.0|0|0.0|0|257.8125|0|7.645833333333333|0
0|2020-01-24|0.0|0|0.0|0|33.333333333333336|0|1.9791666666666667|0
0|2020-01-25|0.0|0|0.0|0|193.4375|0|5.770833333333333|0
0|2020-01-26|0.0|0|0.0|0|173.64583333333334|0|8.416666666666666|0
0|2020-01-27|0.0|0|0.0|0|173.33333333333334|0|4.291666666666667|0
0|2020-01-28|0.0|0|0.0|0|136.77083333333334|0|3.34375|0
0|2020-01-29|0.0|0|0.0|0|207.96875|0|5.197916666666667|0
0|2020-01-30|0.0|0|0.0|0|211.5625|0|10.625|0
0|2020-01-31|0.0|0|0.0|0|177.08333333333334|0|4.0625|0
0|2020-02-01|0.0|0|0.0|0|105.3125|0|3.5833333333333335|0
0|2020-02-02|0.0|0|0.0|0|152.65625|0|6.708333333333333|0
0|2020-02-03|0.0|0|0.0|0|101.5625|0|2.4895833333333335|0
0|2020-02-04|0.0|0|0.0|0|138.125|0|3.3854166666666665|0
0|2020-02-05|0.0|0|0.0|0|62.135416666666664|0|1.3958333333333333|0
0|2020-02-06|0.0|0|0.0|0|203.95833333333334|0|8.770833333333334|0
0|2020-02-07|0.0|0|0.0|0|315.0|0|9.21875|0
0|2020-02-08|0.0|0|0.0|0|193.75|0|11.010416666666666|0
