|dates|Calhoun_Michigan_UnitedStates.BLS_EmployedPopulation.data|Calhoun_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Calhoun_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Calhoun_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Calhoun_Michigan_UnitedStates.BLS_UnemploymentRate.data|Calhoun_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Calhoun_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Calhoun_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-02|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-03|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-04|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-05|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-06|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-07|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-08|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-09|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-10|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-11|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-12|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-13|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-14|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-15|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-16|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-17|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-18|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-19|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-20|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-21|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-22|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-23|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-24|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-25|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-26|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-27|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-28|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-29|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-30|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-01-31|59229.5|0|2455.5|0|3.9807084380319364|0|61685.0|0
0|2020-02-01|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-02|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-03|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-04|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-05|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-06|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-07|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-08|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-09|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-10|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-11|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-12|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
0|2020-02-13|60310.0|0|2270.0|0|3.627356983061681|0|62580.0|0
