|dates|Menifee_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Menifee_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Menifee_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Menifee_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Menifee_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Menifee_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Menifee_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Menifee_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-02|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-03|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-04|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-05|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-06|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-07|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-08|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-09|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-10|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-11|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-12|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-13|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-14|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-15|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-16|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-17|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-18|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-19|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-20|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-21|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-22|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-23|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-24|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-25|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-26|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-27|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-28|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-29|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-30|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-01-31|2137.5|0|213.5|0|9.081242024670352|0|2351.0|0
0|2020-02-01|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-02|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-03|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-04|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-05|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-06|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
0|2020-02-07|2140.0|0|218.0|0|9.245122985581|0|2358.0|0
