|dates|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.missing|Hinsdale_Colorado_UnitedStates.AverageWindDirection.data|Hinsdale_Colorado_UnitedStates.AverageWindDirection.missing|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.data|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-03-05|0.0|0|0.0|0|164.0625|0|6.65625|0
0|2020-03-06|0.0|0|0.0|0|109.16666666666667|0|7.09375|0
0|2020-03-07|0.0|0|0.0|0|93.64583333333333|0|5.8125|0
0|2020-03-08|0.0|0|0.0|0|97.29166666666667|0|3.2708333333333335|0
0|2020-03-09|0.0|0|0.0|0|91.25|0|3.1875|0
0|2020-03-10|0.0|0|0.0|0|70.52083333333333|0|2.9895833333333335|0
0|2020-03-11|0.0|0|0.0005208333333333333|0|100.83333333333333|0|2.9479166666666665|0
0|2020-03-12|0.0|0|0.0|0|115.57291666666667|0|3.015625|0
0|2020-03-13|0.0|0|0.006666666666666668|0|99.27083333333333|0|4.28125|0
0|2020-03-14|0.0|0|0.0|0|119.73958333333333|0|8.177083333333334|0
0|2020-03-15|0.0|0|0.0|0|149.58333333333334|0|12.125|0
0|2020-03-16|0.0|0|0.0|0|107.96875|0|5.078125|0
0|2020-03-17|0.0|0|0.0|0|120.20833333333333|0|9.104166666666666|0
0|2020-03-18|0.0|0|0.0|0|126.66666666666667|0|8.385416666666666|0
0|2020-03-19|0.0|0|0.003541666666666667|0|102.60416666666667|0|3.03125|0
0|2020-03-20|0.0|0|0.00125|0|107.08333333333333|0|5.9375|0
0|2020-03-21|0.0|0|0.0003125|0|74.79166666666667|0|3.25|0
0|2020-03-22|0.0|0|0.00020833333333333335|0|171.35416666666666|0|4.75|0
0|2020-03-23|0.0|0|0.0|0|103.64583333333333|0|4.59375|0
0|2020-03-24|0.0|0|0.0007291666666666667|0|112.29166666666667|0|4.895833333333333|0
0|2020-03-25|0.0|0|0.0|0|173.4375|0|10.15625|0
0|2020-03-26|0.0|0|0.0|0|196.04166666666666|0|14.635416666666666|0
0|2020-03-27|0.0|0|0.0|0|220.05208333333334|0|8.614583333333334|0
0|2020-03-28|0.0|0|0.0|0|226.61458333333334|0|8.854166666666666|0
