|dates|SanFrancisco_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanFrancisco_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanFrancisco_California_UnitedStates.Male_Total_Population.data|SanFrancisco_California_UnitedStates.Male_Total_Population.missing|SanFrancisco_California_UnitedStates.Female_Total_Population.data|SanFrancisco_California_UnitedStates.Female_Total_Population.missing|SanFrancisco_California_UnitedStates.MaleAndFemale_Under18_Population.data|SanFrancisco_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-02|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-03|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-04|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-05|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-06|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-07|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-08|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-09|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-10|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-11|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-12|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-13|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-14|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-15|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-16|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-17|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-18|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-19|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-20|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-21|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-22|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-23|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-24|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-25|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-26|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-27|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-28|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-29|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-30|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-01-31|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-01|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-02|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-03|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-04|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-05|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-06|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-07|138249.0|0|450363.0|0|432942.0|0|118692.0|0
0|2020-02-08|138249.0|0|450363.0|0|432942.0|0|118692.0|0
