|dates|Mono_California_UnitedStates.BLS_EmployedPopulation.data|Mono_California_UnitedStates.BLS_EmployedPopulation.missing|Mono_California_UnitedStates.BLS_UnemployedPopulation.data|Mono_California_UnitedStates.BLS_UnemployedPopulation.missing|Mono_California_UnitedStates.BLS_UnemploymentRate.data|Mono_California_UnitedStates.BLS_UnemploymentRate.missing|Mono_California_UnitedStates.BLS_LaborForcePopulation.data|Mono_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-02|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-03|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-04|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-05|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-06|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-07|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-08|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-09|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-10|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-11|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-12|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-13|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-14|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-15|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-16|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-17|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-18|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-19|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-20|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-21|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-22|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-23|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-24|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-25|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-26|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-27|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-28|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-29|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-30|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-01-31|8792.5|0|325.5|0|3.5698618118008336|0|9118.0|0
0|2020-02-01|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-02|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-03|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-04|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-05|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-06|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-07|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-08|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-09|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-10|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-11|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
0|2020-02-12|8612.5|0|333.5|0|3.727923094120277|0|8946.0|0
