|dates|Otero_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Otero_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Otero_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Otero_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Otero_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Otero_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Otero_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Otero_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-02|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-03|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-04|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-05|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-06|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-07|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-08|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-09|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-10|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-11|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-12|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-13|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-14|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-15|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-16|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-17|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-18|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-19|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-20|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-21|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-22|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-23|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-24|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-25|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-26|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-27|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-28|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-29|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-30|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-01-31|24427.5|0|1285.5|0|4.999416637498542|0|25713.0|0
0|2020-02-01|24217.0|0|1281.0|0|5.023923444976076|0|25498.0|0
