|dates|Newaygo_Michigan_UnitedStates.BLS_EmployedPopulation.data|Newaygo_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Newaygo_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Newaygo_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Newaygo_Michigan_UnitedStates.BLS_UnemploymentRate.data|Newaygo_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Newaygo_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Newaygo_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-02|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-03|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-04|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-05|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-06|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-07|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-08|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-09|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-10|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-11|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-12|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-13|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-14|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-15|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-16|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-17|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-18|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-19|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-20|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-21|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-22|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-23|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-24|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
0|2020-01-25|22281.0|0|1053.0|0|4.512728207765492|0|23334.0|0
