|dates|Northampton_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Northampton_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Northampton_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Northampton_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Northampton_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Northampton_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Northampton_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Northampton_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-02|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-03|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-04|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-05|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-06|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-07|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-08|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-09|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-10|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-11|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-12|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-13|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-14|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-15|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-16|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-17|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-18|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-19|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-20|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-21|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-22|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-23|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-24|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-25|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-26|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-27|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-28|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
0|2020-01-29|154671.5|0|8197.0|0|5.032894635856534|0|162868.5|0
