|dates|WallaWalla_Washington_UnitedStates.BLS_EmployedPopulation.data|WallaWalla_Washington_UnitedStates.BLS_EmployedPopulation.missing|WallaWalla_Washington_UnitedStates.BLS_UnemployedPopulation.data|WallaWalla_Washington_UnitedStates.BLS_UnemployedPopulation.missing|WallaWalla_Washington_UnitedStates.BLS_UnemploymentRate.data|WallaWalla_Washington_UnitedStates.BLS_UnemploymentRate.missing|WallaWalla_Washington_UnitedStates.BLS_LaborForcePopulation.data|WallaWalla_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-02|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-03|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-04|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-05|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-06|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-07|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-08|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-09|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-10|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-11|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-12|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-13|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-14|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-15|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-16|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-17|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-18|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-19|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-20|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-21|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-22|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-23|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-24|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
0|2020-01-25|28248.0|0|1612.5|0|5.400110513889587|0|29860.5|0
