|dates|York_Maine_UnitedStates.BLS_EmployedPopulation.data|York_Maine_UnitedStates.BLS_EmployedPopulation.missing|York_Maine_UnitedStates.BLS_UnemployedPopulation.data|York_Maine_UnitedStates.BLS_UnemployedPopulation.missing|York_Maine_UnitedStates.BLS_UnemploymentRate.data|York_Maine_UnitedStates.BLS_UnemploymentRate.missing|York_Maine_UnitedStates.BLS_LaborForcePopulation.data|York_Maine_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-02|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-03|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-04|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-05|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-06|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-07|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-08|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-09|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-10|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-11|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-12|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-13|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-14|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-15|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-16|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-17|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-18|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-19|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-20|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-21|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-22|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-23|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-24|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-25|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-26|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-27|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-28|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-29|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-30|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-01-31|108710.5|0|4043.5|0|3.5861255476524114|0|112754.0|0
0|2020-02-01|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-02|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-03|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-04|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-05|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-06|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-07|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-08|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-09|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-10|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
0|2020-02-11|108808.0|0|4065.5|0|3.6018197362534163|0|112873.5|0
