|dates|Stearns_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Stearns_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Stearns_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Stearns_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Stearns_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Stearns_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Stearns_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Stearns_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-02|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-03|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-04|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-05|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-06|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-07|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-08|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-09|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-10|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-11|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-12|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-13|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-14|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-15|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-16|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-17|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-18|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-19|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-20|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-21|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-22|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-23|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-24|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-25|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-26|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-27|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
0|2020-01-28|87135.0|0|3688.0|0|4.060645431223368|0|90823.0|0
