|dates|Thomas_Kansas_UnitedStates.AveragePrecipitationTotal.data|Thomas_Kansas_UnitedStates.AveragePrecipitationTotal.missing|Thomas_Kansas_UnitedStates.AveragePrecipitation.data|Thomas_Kansas_UnitedStates.AveragePrecipitation.missing|Thomas_Kansas_UnitedStates.AverageWindDirection.data|Thomas_Kansas_UnitedStates.AverageWindDirection.missing|Thomas_Kansas_UnitedStates.AverageWindSpeed.data|Thomas_Kansas_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|260.1041666666667|0|6.979166666666667|0
0|2020-01-02|0.0|0|0.0|0|316.1979166666667|0|9.817708333333334|0
0|2020-01-03|0.0|0|0.0|0|246.04166666666666|0|9.505208333333334|0
0|2020-01-04|0.0|0|0.0|0|221.66666666666666|0|9.177083333333334|0
0|2020-01-05|0.0|0|0.0|0|204.79166666666666|0|10.578125|0
0|2020-01-06|0.0|0|0.0|0|261.0416666666667|0|12.25|0
0|2020-01-07|0.0|0|0.0|0|235.625|0|8.46875|0
0|2020-01-08|0.0|0|0.0|0|154.375|0|8.989583333333334|0
0|2020-01-09|0.0|0|0.0|0|209.16666666666666|0|9.041666666666666|0
0|2020-01-10|0.0|0|0.0|0|137.60416666666666|0|11.166666666666666|0
0|2020-01-11|0.0|0|0.0|0|186.30208333333334|0|7.494791666666667|0
0|2020-01-12|0.0|0|0.0|0|166.77083333333334|0|4.729166666666667|0
0|2020-01-13|0.0|0|0.0|0|171.04166666666666|0|5.260416666666667|0
0|2020-01-14|0.0|0|0.0|0|143.64583333333334|0|9.21875|0
0|2020-01-15|0.0|0|0.0|0|175.0|0|9.53125|0
0|2020-01-16|0.0|0|0.0|0|131.45833333333334|0|9.65625|0
0|2020-01-17|0.0|0|0.0|0|193.85416666666666|0|15.4375|0
0|2020-01-18|0.0|0|0.0|0|292.6041666666667|0|12.291666666666666|0
0|2020-01-19|0.0|0|0.0|0|196.5625|0|6.0625|0
0|2020-01-20|0.0|0|0.0|0|175.3125|0|8.614583333333334|0
0|2020-01-21|0.0|0|0.0|0|176.97916666666666|0|14.208333333333334|0
0|2020-01-22|0.0|0|0.0|0|289.2708333333333|0|11.635416666666666|0
0|2020-01-23|0.0|0|0.0|0|319.9479166666667|0|16.552083333333332|0
0|2020-01-24|0.0|0|0.0|0|229.89583333333334|0|7.15625|0
0|2020-01-25|0.0|0|0.0|0|278.6458333333333|0|7.333333333333333|0
0|2020-01-26|0.0|0|0.0|0|253.75|0|8.416666666666666|0
0|2020-01-27|0.0|0|0.0|0|94.01041666666667|0|7.802083333333333|0
0|2020-01-28|0.0|0|0.0|0|284.6875|0|8.083333333333334|0
0|2020-01-29|0.0|0|0.0|0|213.4375|0|4.59375|0
0|2020-01-30|0.0|0|0.0|0|273.0208333333333|0|7.802083333333333|0
0|2020-01-31|0.0|0|0.0|0|309.1666666666667|0|12.260416666666666|0
0|2020-02-01|0.0|0|0.0|0|275.3125|0|11.15625|0
0|2020-02-02|0.0|0|0.0|0|230.20833333333334|0|14.083333333333334|0
0|2020-02-03|0.0|0|0.0|0|32.1875|0|18.208333333333332|0
0|2020-02-04|0.0|0|0.0|0|32.916666666666664|0|15.15625|0
0|2020-02-05|0.0|0|0.0|0|264.1666666666667|0|5.854166666666667|0
0|2020-02-06|0.0|0|0.0|0|298.5416666666667|0|11.427083333333334|0
0|2020-02-07|0.0|0|0.0|0|300.0520833333333|0|12.182291666666666|0
0|2020-02-08|0.0|0|0.0|0|201.97916666666666|0|11.59375|0
0|2020-02-09|0.0|0|0.0|0|290.7291666666667|0|14.1875|0
0|2020-02-10|0.0|0|0.0|0|217.8125|0|6.770833333333333|0
0|2020-02-11|0.0|0|0.0|0|212.5|0|11.020833333333334|0
