|dates|Allegan_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Allegan_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Allegan_Michigan_UnitedStates.Male_Total_Population.data|Allegan_Michigan_UnitedStates.Male_Total_Population.missing|Allegan_Michigan_UnitedStates.Female_Total_Population.data|Allegan_Michigan_UnitedStates.Female_Total_Population.missing|Allegan_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Allegan_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-02|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-03|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-04|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-05|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-06|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-07|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-08|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-09|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-10|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-11|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-12|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-13|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-14|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-15|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-16|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-17|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-18|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-19|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-20|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-21|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-22|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-23|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-24|19414.0|0|58615.0|0|58712.0|0|28372.0|0
0|2020-01-25|19414.0|0|58615.0|0|58712.0|0|28372.0|0
