|dates|Graham_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Graham_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Graham_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Graham_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Graham_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Graham_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Graham_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Graham_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-02|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-03|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-04|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-05|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-06|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-07|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-08|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-09|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-10|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-11|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-12|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-13|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-14|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-15|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-16|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-17|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-18|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-19|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-20|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-21|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-22|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-23|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-24|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-25|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-26|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-27|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-28|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-29|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-30|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-01-31|2847.5|0|224.0|0|7.292853654566173|0|3071.5|0
0|2020-02-01|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-02|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-03|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-04|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-05|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-06|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-07|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-08|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-09|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-10|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-11|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-12|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
0|2020-02-13|2900.0|0|189.0|0|6.118484946584656|0|3089.0|0
