|dates|NewLondon_Connecticut_UnitedStates.BLS_EmployedPopulation.data|NewLondon_Connecticut_UnitedStates.BLS_EmployedPopulation.missing|NewLondon_Connecticut_UnitedStates.BLS_UnemployedPopulation.data|NewLondon_Connecticut_UnitedStates.BLS_UnemployedPopulation.missing|NewLondon_Connecticut_UnitedStates.BLS_UnemploymentRate.data|NewLondon_Connecticut_UnitedStates.BLS_UnemploymentRate.missing|NewLondon_Connecticut_UnitedStates.BLS_LaborForcePopulation.data|NewLondon_Connecticut_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-02|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-03|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-04|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-05|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-06|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-07|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-08|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-09|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-10|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-11|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-12|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-13|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-14|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-15|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-16|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-17|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-18|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-19|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-20|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-21|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-22|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-23|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-24|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-25|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-26|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-27|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-28|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-29|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-30|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-01-31|130323.0|0|5967.5|0|4.378515010217146|0|136290.5|0
0|2020-02-01|130310.0|0|5720.0|0|4.204954789384694|0|136030.0|0
0|2020-02-02|130310.0|0|5720.0|0|4.204954789384694|0|136030.0|0
0|2020-02-03|130310.0|0|5720.0|0|4.204954789384694|0|136030.0|0
