|dates|Putnam_NewYork_UnitedStates.BLS_EmployedPopulation.data|Putnam_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Putnam_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Putnam_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_NewYork_UnitedStates.BLS_UnemploymentRate.data|Putnam_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Putnam_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Putnam_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-02|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-03|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-04|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-05|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-06|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-07|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-08|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-09|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-10|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-11|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-12|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-13|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-14|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-15|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-16|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-17|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-18|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-19|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-20|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-21|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-22|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-23|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-24|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-25|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-26|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
0|2020-01-27|49307.0|0|2048.0|0|3.98792717359556|0|51355.0|0
