|dates|SanJoaquin_California_UnitedStates.BLS_EmployedPopulation.data|SanJoaquin_California_UnitedStates.BLS_EmployedPopulation.missing|SanJoaquin_California_UnitedStates.BLS_UnemployedPopulation.data|SanJoaquin_California_UnitedStates.BLS_UnemployedPopulation.missing|SanJoaquin_California_UnitedStates.BLS_UnemploymentRate.data|SanJoaquin_California_UnitedStates.BLS_UnemploymentRate.missing|SanJoaquin_California_UnitedStates.BLS_LaborForcePopulation.data|SanJoaquin_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-02|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-03|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-04|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-05|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-06|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-07|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-08|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-09|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-10|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-11|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-12|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-13|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-14|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-15|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-16|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-17|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-18|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-19|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-20|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-21|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-22|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-23|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-24|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-25|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-26|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-27|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-28|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-29|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-30|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-01-31|305211.0|0|22056.5|0|6.739593757400292|0|327267.5|0
0|2020-02-01|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-02|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-03|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-04|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-05|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-06|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
0|2020-02-07|307187.5|0|21513.5|0|6.5450059476545555|0|328701.0|0
