|dates|Brown_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brown_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brown_Nebraska_UnitedStates.Male_Total_Population.data|Brown_Nebraska_UnitedStates.Male_Total_Population.missing|Brown_Nebraska_UnitedStates.Female_Total_Population.data|Brown_Nebraska_UnitedStates.Female_Total_Population.missing|Brown_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Brown_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-02|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-03|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-04|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-05|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-06|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-07|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-08|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-09|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-10|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-11|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-12|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-13|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-14|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-15|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-16|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-17|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-18|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-19|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-20|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-21|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-22|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-23|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-24|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-25|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-26|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-27|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-28|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-29|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-30|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-01-31|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-02|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-03|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-04|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-05|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-06|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-07|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-08|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-09|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-10|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-11|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-12|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-13|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-14|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-15|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-16|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-17|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-18|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-19|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-20|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-21|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-22|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-23|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-24|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-25|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-26|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-27|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-28|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-02-29|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-03-01|776.0|0|1450.0|0|1523.0|0|633.0|0
0|2020-03-02|776.0|0|1450.0|0|1523.0|0|633.0|0
