|dates|Rockingham_Virginia_UnitedStates.BLS_EmployedPopulation.data|Rockingham_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Rockingham_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Rockingham_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Rockingham_Virginia_UnitedStates.BLS_UnemploymentRate.data|Rockingham_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Rockingham_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Rockingham_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-02|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-03|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-04|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-05|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-06|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-07|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-08|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-09|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-10|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-11|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-12|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-13|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-14|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-15|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-16|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-17|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-18|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-19|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-20|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-21|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-22|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-23|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-24|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-25|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-26|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-27|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-28|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-29|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-30|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-01-31|42121.5|0|1045.0|0|2.42085876779447|0|43166.5|0
0|2020-02-01|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-02|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-03|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-04|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-05|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-06|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-07|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-08|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-09|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-10|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-11|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-12|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-13|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-14|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
0|2020-02-15|42590.0|0|918.5|0|2.1110817426479884|0|43508.5|0
