|dates|Delta_Texas_UnitedStates.BLS_EmployedPopulation.data|Delta_Texas_UnitedStates.BLS_EmployedPopulation.missing|Delta_Texas_UnitedStates.BLS_UnemployedPopulation.data|Delta_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Delta_Texas_UnitedStates.BLS_UnemploymentRate.data|Delta_Texas_UnitedStates.BLS_UnemploymentRate.missing|Delta_Texas_UnitedStates.BLS_LaborForcePopulation.data|Delta_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-02|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-03|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-04|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-05|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-06|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-07|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-08|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-09|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-10|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-11|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-12|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-13|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-14|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-15|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-16|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-17|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-18|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-19|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-20|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-21|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-22|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-23|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-24|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
0|2020-01-25|2354.0|0|87.5|0|3.58386237968462|0|2441.5|0
