|dates|Kimball_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Kimball_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Kimball_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Kimball_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Kimball_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Kimball_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Kimball_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Kimball_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-02|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-03|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-04|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-05|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-06|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-07|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-08|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-09|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-10|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-11|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-12|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-13|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-14|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-15|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-16|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-17|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-18|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
0|2020-01-19|1946.0|0|60.0|0|2.991026919242273|0|2006.0|0
