|dates|Vanderburgh_Indiana_UnitedStates.BLS_EmployedPopulation.data|Vanderburgh_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Vanderburgh_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Vanderburgh_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Vanderburgh_Indiana_UnitedStates.BLS_UnemploymentRate.data|Vanderburgh_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Vanderburgh_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Vanderburgh_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-02|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-03|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-04|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-05|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-06|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-07|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-08|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-09|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-10|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-11|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-12|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-13|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-14|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-15|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-16|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-17|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-18|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-19|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-20|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-21|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-22|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-23|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-24|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-25|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-26|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-27|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-28|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-29|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-30|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-01-31|90707.0|0|3100.0|0|3.304657434946219|0|93807.0|0
0|2020-02-01|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-02|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-03|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-04|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-05|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-06|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-07|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-08|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-09|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-10|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-11|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-12|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-13|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-14|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-15|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-16|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-17|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-18|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-19|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-20|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-21|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-22|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-23|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-24|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-25|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-26|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-27|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-28|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-02-29|91048.0|0|2931.0|0|3.1187818555209144|0|93979.0|0
0|2020-03-01|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
0|2020-03-02|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
0|2020-03-03|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
0|2020-03-04|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
0|2020-03-05|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
0|2020-03-06|88675.0|0|2895.0|0|3.1615157802773832|0|91570.0|0
