|dates|Lawrence_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Lawrence_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Lawrence_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Lawrence_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Lawrence_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Lawrence_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Lawrence_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Lawrence_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-02|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-03|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-04|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-05|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-06|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-07|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-08|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-09|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-10|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-11|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-12|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-13|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-14|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-15|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-16|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-17|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-18|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-19|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-20|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-21|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-22|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-23|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-24|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-25|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-26|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
0|2020-01-27|4864.0|0|441.0|0|8.312912346842602|0|5305.0|0
