|dates|Berkshire_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Berkshire_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Berkshire_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Berkshire_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Berkshire_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Berkshire_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Berkshire_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Berkshire_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-02|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-03|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-04|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-05|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-06|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-07|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-08|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-09|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-10|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-11|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-12|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-13|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-14|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-15|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-16|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-17|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-18|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-19|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-20|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-21|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-22|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-23|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-24|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-25|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-26|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-27|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-28|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-29|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-30|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-01-31|61055.5|0|2824.0|0|4.420823581900296|0|63879.5|0
0|2020-02-01|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
0|2020-02-02|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
0|2020-02-03|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
0|2020-02-04|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
0|2020-02-05|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
0|2020-02-06|61036.5|0|2681.5|0|4.2083869550205595|0|63718.0|0
