|dates|Hutchinson_Texas_UnitedStates.BLS_EmployedPopulation.data|Hutchinson_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hutchinson_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hutchinson_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hutchinson_Texas_UnitedStates.BLS_UnemploymentRate.data|Hutchinson_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hutchinson_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hutchinson_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-02|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-03|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-04|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-05|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-06|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-07|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-08|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-09|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-10|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-11|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-12|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-13|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-14|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-15|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-16|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-17|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-18|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-19|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-20|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
0|2020-01-21|8209.5|0|426.5|0|4.938628994905049|0|8636.0|0
