|dates|Kern_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kern_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kern_California_UnitedStates.Male_Total_Population.data|Kern_California_UnitedStates.Male_Total_Population.missing|Kern_California_UnitedStates.Female_Total_Population.data|Kern_California_UnitedStates.Female_Total_Population.missing|Kern_California_UnitedStates.MaleAndFemale_Under18_Population.data|Kern_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-02|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-03|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-04|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-05|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-06|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-07|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-08|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-09|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-10|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-11|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-12|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-13|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-14|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-15|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-16|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-17|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-18|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-19|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-20|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-21|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-22|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-23|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-24|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-25|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-26|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-27|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-28|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-29|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-30|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-01-31|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-01|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-02|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-03|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-04|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-05|98347.0|0|459690.0|0|437074.0|0|259180.0|0
0|2020-02-06|98347.0|0|459690.0|0|437074.0|0|259180.0|0
