|dates|Orange_California_UnitedStates.BLS_EmployedPopulation.data|Orange_California_UnitedStates.BLS_EmployedPopulation.missing|Orange_California_UnitedStates.BLS_UnemployedPopulation.data|Orange_California_UnitedStates.BLS_UnemployedPopulation.missing|Orange_California_UnitedStates.BLS_UnemploymentRate.data|Orange_California_UnitedStates.BLS_UnemploymentRate.missing|Orange_California_UnitedStates.BLS_LaborForcePopulation.data|Orange_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-02|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-03|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-04|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-05|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-06|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-07|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-08|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-09|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-10|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-11|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-12|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-13|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-14|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-15|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-16|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-17|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-18|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-19|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-20|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-21|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-22|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-23|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-24|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-25|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-26|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-27|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-28|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-29|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-30|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-01-31|1568641.0|0|46952.0|0|2.9061774840569377|0|1615593.0|0
0|2020-02-01|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-02|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-03|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-04|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-05|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-06|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-07|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-08|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-09|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-10|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-11|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-12|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-13|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-14|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-15|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-16|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-17|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-18|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-19|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-20|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-21|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-22|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-23|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-24|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-25|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-26|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-27|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-28|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-02-29|1575240.5|0|45239.5|0|2.7917345477883098|0|1620480.0|0
0|2020-03-01|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-02|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-03|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-04|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-05|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-06|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-07|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-08|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-09|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-10|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-11|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-12|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-13|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-14|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-15|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-16|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
0|2020-03-17|1537203.5|0|55853.5|0|3.5060578497818975|0|1593057.0|0
