|dates|Haakon_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Haakon_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Haakon_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Haakon_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Haakon_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Haakon_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Haakon_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Haakon_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-02|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-03|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-04|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-05|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-06|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-07|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-08|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-09|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-10|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-11|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-12|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-13|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-14|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-15|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-16|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-17|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-18|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-19|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-20|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-21|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-22|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-23|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-24|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-25|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-26|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-27|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-28|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-29|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-30|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-01-31|1012.0|0|31.5|0|3.0186871106851942|0|1043.5|0
0|2020-02-01|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-02|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-03|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-04|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-05|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-06|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-07|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-08|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-09|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-10|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-11|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-12|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-13|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
0|2020-02-14|1001.5|0|31.5|0|3.0493707647628265|0|1033.0|0
