|dates|Lake_Indiana_UnitedStates.BLS_EmployedPopulation.data|Lake_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Lake_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Lake_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Lake_Indiana_UnitedStates.BLS_UnemploymentRate.data|Lake_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Lake_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Lake_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-02|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-03|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-04|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-05|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-06|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-07|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-08|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-09|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-10|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-11|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-12|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-13|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-14|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-15|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-16|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-17|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-18|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-19|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-20|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-21|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-22|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-23|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-24|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-25|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-26|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-27|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-28|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-29|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-30|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-01-31|216886.0|0|12218.0|0|5.332949228298066|0|229104.0|0
0|2020-02-01|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-02|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-03|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-04|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-05|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-06|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-07|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-08|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-09|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-10|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
0|2020-02-11|217629.0|0|11981.5|0|5.218184708451922|0|229610.5|0
