|dates|Strafford_NewHampshire_UnitedStates.BLS_EmployedPopulation.data|Strafford_NewHampshire_UnitedStates.BLS_EmployedPopulation.missing|Strafford_NewHampshire_UnitedStates.BLS_UnemployedPopulation.data|Strafford_NewHampshire_UnitedStates.BLS_UnemployedPopulation.missing|Strafford_NewHampshire_UnitedStates.BLS_UnemploymentRate.data|Strafford_NewHampshire_UnitedStates.BLS_UnemploymentRate.missing|Strafford_NewHampshire_UnitedStates.BLS_LaborForcePopulation.data|Strafford_NewHampshire_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-02|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-03|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-04|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-05|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-06|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-07|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-08|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-09|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-10|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-11|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-12|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-13|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-14|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-15|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-16|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-17|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
0|2020-01-18|71901.0|0|2016.0|0|2.727383416534762|0|73917.0|0
