|dates|Tooele_Utah_UnitedStates.AveragePrecipitationTotal.data|Tooele_Utah_UnitedStates.AveragePrecipitationTotal.missing|Tooele_Utah_UnitedStates.AveragePrecipitation.data|Tooele_Utah_UnitedStates.AveragePrecipitation.missing|Tooele_Utah_UnitedStates.AverageWindDirection.data|Tooele_Utah_UnitedStates.AverageWindDirection.missing|Tooele_Utah_UnitedStates.AverageWindSpeed.data|Tooele_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.004694444444444445|0|175.74305555555557|0|8.869444444444445|0
0|2020-01-02|0.0075|0|0.0004166666666666667|0|89.58333333333333|0|3.0|0
0|2020-01-03|0.0|0|0.0|0|135.83333333333334|0|7.958333333333333|0
0|2020-01-04|0.0|0|0.0|0|173.33333333333334|0|8.416666666666666|0
0|2020-01-05|0.0|0|0.0|0|129.79166666666666|0|4.104166666666667|0
0|2020-01-06|0.0|0|0.0|0|120.41666666666667|0|5.875|0
0|2020-01-07|0.0|0|0.0|0|145.0|0|10.5|0
0|2020-01-08|0.0|0|0.002152777777777778|0|141.66666666666666|0|4.479166666666667|0
0|2020-01-09|0.0033333333333333335|0|0.001861111111111111|0|225.22916666666666|0|6.795138888888889|0
0|2020-01-10|0.00375|0|0.00020833333333333335|0|186.25|0|5.5625|0
0|2020-01-11|0.0|0|0.0010416666666666667|0|132.63888888888889|0|7.680555555555556|0
0|2020-01-12|0.0016666666666666668|0|0.0029583333333333336|0|134.52083333333334|0|5.864583333333333|0
0|2020-01-13|0.0033333333333333335|0|0.0014444444444444444|0|147.1597222222222|0|7.357638888888888|0
0|2020-01-14|0.0025|0|0.002103174603174603|0|167.04365079365078|0|12.749007936507937|0
0|2020-01-15|0.00375|0|0.0|0|180.83333333333334|0|5.416666666666667|0
0|2020-01-16|0.0|0|0.0|0|150.41666666666666|0|14.75|0
0|2020-01-17|0.0|0|0.0042986111111111116|0|249.79166666666666|0|11.913194444444443|0
0|2020-01-18|0.0075|0|0.0|0|113.75|0|5.375|0
0|2020-01-19|0.0|0|0.0|0|141.66666666666666|0|3.6666666666666665|0
0|2020-01-20|0.0|0|0.0|0|188.33333333333334|0|3.75|0
0|2020-01-21|0.0|0|0.0004166666666666667|0|136.25|0|4.208333333333333|0
0|2020-01-22|0.0004166666666666667|0|0.0016666666666666668|0|148.125|0|4.020833333333333|0
0|2020-01-23|0.0016666666666666668|0|0.0004166666666666667|0|135.41666666666666|0|3.6666666666666665|0
0|2020-01-24|0.0004166666666666667|0|0.0034375|0|130.625|0|6.65625|0
0|2020-01-25|0.0010416666666666667|0|0.0|0|146.25000000000003|0|3.5208333333333335|0
0|2020-01-26|0.0|0|0.012777777777777777|0|198.64583333333334|0|5.236111111111112|0
0|2020-01-27|0.022083333333333333|0|0.0071875|0|196.66666666666666|0|4.979166666666667|0
0|2020-01-28|0.0008333333333333334|0|0.0|0|165.0|0|9.666666666666666|0
0|2020-01-29|0.00375|0|0.0059027777777777785|0|264.1666666666667|0|7.371527777777779|0
0|2020-01-30|0.00375|0|0.0009027777777777778|0|157.04861111111111|0|5.079861111111111|0
0|2020-01-31|0.0016666666666666668|0|0.0|0|149.58333333333334|0|5.708333333333333|0
0|2020-02-01|0.0|0|0.0|0|124.16666666666667|0|6.125|0
0|2020-02-02|0.0|0|0.0005833333333333334|0|215.91666666666666|0|10.258333333333333|0
0|2020-02-03|0.002777777777777778|0|0.01375|0|319.4375|0|16.509722222222223|0
0|2020-02-04|0.009583333333333334|0|0.0|0|206.45833333333334|0|5.541666666666667|0
0|2020-02-05|0.0|0|0.0011111111111111111|0|150.48611111111111|0|8.243055555555555|0
0|2020-02-06|0.0019444444444444446|0|0.011180555555555556|0|135.06944444444446|0|8.444444444444445|0
0|2020-02-07|0.01|0|0.0025|0|148.33333333333334|0|6.791666666666667|0
0|2020-02-08|0.0|0|0.0|0|229.58333333333334|0|11.4375|0
0|2020-02-09|0.0|0|0.0|0|245.0|0|6.875|0
0|2020-02-10|0.0|0|0.0|0|186.66666666666666|0|5.875|0
0|2020-02-11|0.0|0|0.0|0|95.0|0|3.5|0
0|2020-02-12|0.0|0|0.0|0|185.83333333333334|0|6.0|0
0|2020-02-13|0.0|0|0.0|0|119.58333333333333|0|6.291666666666667|0
0|2020-02-14|0.0|0|0.0|0|196.66666666666666|0|9.75|0
0|2020-02-15|0.0|0|0.0|0|162.91666666666666|0|3.8333333333333335|0
0|2020-02-16|0.0|0|0.012875000000000003|0|152.43055555555554|0|6.138888888888889|0
0|2020-02-17|0.017916666666666668|0|0.0|0|242.5|0|7.145833333333333|0
0|2020-02-18|0.0|0|0.0|0|171.66666666666666|0|5.708333333333333|0
0|2020-02-19|0.0|0|0.0|0|187.91666666666666|0|5.041666666666667|0
0|2020-02-20|0.0|0|0.0|0|146.66666666666666|0|4.5|0
0|2020-02-21|0.0|0|0.0|0|194.58333333333334|0|3.9583333333333335|0
0|2020-02-22|0.0|0|0.0|0|136.66666666666666|0|3.4166666666666665|0
0|2020-02-23|0.0|0|0.0|0|107.91666666666667|0|4.416666666666667|0
0|2020-02-24|0.0|0|0.0|0|278.125|0|11.0|0
0|2020-02-25|0.0|0|0.0|0|199.58333333333334|0|5.708333333333333|0
0|2020-02-26|0.0|0|0.0|0|135.83333333333334|0|5.833333333333333|0
0|2020-02-27|0.0|0|0.0|0|141.25|0|4.333333333333333|0
0|2020-02-28|0.0|0|0.0|0|167.5|0|7.416666666666667|0
0|2020-02-29|0.0|0|0.0|0|176.66666666666666|0|10.875|0
0|2020-03-01|0.0|0|0.007534722222222223|0|313.43750000000006|0|9.819444444444445|0
0|2020-03-02|0.009583333333333334|0|0.0|0|161.66666666666666|0|4.291666666666667|0
0|2020-03-03|0.0|0|0.0|0|155.83333333333334|0|6.083333333333333|0
0|2020-03-04|0.0|0|0.0|0|134.16666666666666|0|7.708333333333333|0
0|2020-03-05|0.0|0|0.0|0|147.91666666666666|0|10.333333333333334|0
0|2020-03-06|0.0|0|0.0|0|143.33333333333334|0|13.0|0
0|2020-03-07|0.0|0|0.0|0|170.41666666666666|0|15.25|0
0|2020-03-08|0.00125|0|0.0016666666666666668|0|216.875|0|9.520833333333334|0
0|2020-03-09|0.0008333333333333334|0|0.0|0|208.75|0|9.833333333333334|0
0|2020-03-10|0.0|0|0.0|0|168.33333333333334|0|4.083333333333333|0
