|dates|Rockwall_Texas_UnitedStates.BLS_EmployedPopulation.data|Rockwall_Texas_UnitedStates.BLS_EmployedPopulation.missing|Rockwall_Texas_UnitedStates.BLS_UnemployedPopulation.data|Rockwall_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Rockwall_Texas_UnitedStates.BLS_UnemploymentRate.data|Rockwall_Texas_UnitedStates.BLS_UnemploymentRate.missing|Rockwall_Texas_UnitedStates.BLS_LaborForcePopulation.data|Rockwall_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-02|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-03|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-04|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-05|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-06|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-07|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-08|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-09|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-10|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-11|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-12|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-13|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-14|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-15|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-16|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-17|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-18|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-19|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-20|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-21|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-22|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-23|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-24|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-25|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-26|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-27|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
0|2020-01-28|51839.5|0|1667.0|0|3.1155093306420714|0|53506.5|0
