|dates|Scotland_Missouri_UnitedStates.BLS_EmployedPopulation.data|Scotland_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Scotland_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Scotland_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Scotland_Missouri_UnitedStates.BLS_UnemploymentRate.data|Scotland_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Scotland_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Scotland_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-02|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-03|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-04|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-05|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-06|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-07|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-08|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-09|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-10|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-11|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-12|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-13|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-14|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-15|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-16|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-17|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-18|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-19|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-20|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-21|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-22|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-23|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-24|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-25|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-26|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-27|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-28|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-29|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-30|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-01-31|2332.5|0|89.5|0|3.695293146160198|0|2422.0|0
0|2020-02-01|2321.5|0|74.5|0|3.1093489148580966|0|2396.0|0
