|dates|Martin_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Martin_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Martin_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Martin_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Martin_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Martin_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Martin_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Martin_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-02|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-03|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-04|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-05|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-06|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-07|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-08|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-09|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-10|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-11|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-12|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-13|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-14|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-15|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-16|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-17|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-18|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-19|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-20|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-21|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-22|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-23|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-24|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-25|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-26|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-27|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-28|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-29|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-30|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-01-31|2440.0|0|244.0|0|9.090909090909092|0|2684.0|0
0|2020-02-01|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-02|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-03|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-04|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-05|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-06|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-07|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
0|2020-02-08|2444.5|0|265.0|0|9.780402288245064|0|2709.5|0
