|dates|Crook_Wyoming_UnitedStates.BLS_EmployedPopulation.data|Crook_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|Crook_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|Crook_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|Crook_Wyoming_UnitedStates.BLS_UnemploymentRate.data|Crook_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|Crook_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|Crook_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-02|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-03|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-04|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-05|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-06|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-07|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-08|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-09|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-10|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-11|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-12|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-13|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-14|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-15|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-16|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-17|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-18|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-19|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-20|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-21|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-22|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-23|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-24|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-25|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-26|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-27|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-28|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-29|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-30|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-01-31|3564.5|0|123.0|0|3.335593220338983|0|3687.5|0
0|2020-02-01|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-02|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-03|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-04|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-05|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-06|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-07|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-08|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-09|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-10|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-11|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-12|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-13|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-14|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-15|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-16|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-17|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-18|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-19|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-20|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-21|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-22|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-23|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-24|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-25|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-26|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-27|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-28|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-02-29|3580.5|0|128.5|0|3.464545699649501|0|3709.0|0
0|2020-03-01|3471.0|0|158.5|0|4.366992698718832|0|3629.5|0
0|2020-03-02|3471.0|0|158.5|0|4.366992698718832|0|3629.5|0
