|dates|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Genesee_Michigan_UnitedStates.Male_Total_Population.data|Genesee_Michigan_UnitedStates.Male_Total_Population.missing|Genesee_Michigan_UnitedStates.Female_Total_Population.data|Genesee_Michigan_UnitedStates.Female_Total_Population.missing|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Genesee_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-02|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-03|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-04|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-05|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-06|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-07|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-08|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-09|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-10|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-11|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-12|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-13|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-14|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-15|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-16|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-17|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-18|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-19|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-20|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-21|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-22|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-23|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-24|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-25|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-26|71136.0|0|196242.0|0|210650.0|0|91550.0|0
0|2020-01-27|71136.0|0|196242.0|0|210650.0|0|91550.0|0
