|dates|Sonoma_California_UnitedStates.BLS_EmployedPopulation.data|Sonoma_California_UnitedStates.BLS_EmployedPopulation.missing|Sonoma_California_UnitedStates.BLS_UnemployedPopulation.data|Sonoma_California_UnitedStates.BLS_UnemployedPopulation.missing|Sonoma_California_UnitedStates.BLS_UnemploymentRate.data|Sonoma_California_UnitedStates.BLS_UnemploymentRate.missing|Sonoma_California_UnitedStates.BLS_LaborForcePopulation.data|Sonoma_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-02|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-03|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-04|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-05|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-06|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-07|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-08|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-09|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-10|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-11|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-12|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-13|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-14|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-15|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-16|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-17|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-18|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-19|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-20|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-21|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-22|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-23|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-24|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-25|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-26|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-27|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-28|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-29|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-30|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-01-31|248504.5|0|7664.5|0|2.991970144709157|0|256169.0|0
0|2020-02-01|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-02|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-03|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-04|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-05|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-06|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-07|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-08|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-09|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-10|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-11|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-12|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-13|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-14|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-15|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-16|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-17|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-18|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-19|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-20|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-21|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-22|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-23|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-24|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-25|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
0|2020-02-26|250158.5|0|7285.0|0|2.829747109559962|0|257443.5|0
