|dates|Scurry_Texas_UnitedStates.BLS_EmployedPopulation.data|Scurry_Texas_UnitedStates.BLS_EmployedPopulation.missing|Scurry_Texas_UnitedStates.BLS_UnemployedPopulation.data|Scurry_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Scurry_Texas_UnitedStates.BLS_UnemploymentRate.data|Scurry_Texas_UnitedStates.BLS_UnemploymentRate.missing|Scurry_Texas_UnitedStates.BLS_LaborForcePopulation.data|Scurry_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-02|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-03|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-04|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-05|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-06|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-07|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-08|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-09|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-10|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-11|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-12|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-13|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-14|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-15|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-16|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-17|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-18|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-19|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-20|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
0|2020-01-21|6326.0|0|252.5|0|3.8382610017481187|0|6578.5|0
