|dates|Washington_RhodeIsland_UnitedStates.BLS_EmployedPopulation.data|Washington_RhodeIsland_UnitedStates.BLS_EmployedPopulation.missing|Washington_RhodeIsland_UnitedStates.BLS_UnemployedPopulation.data|Washington_RhodeIsland_UnitedStates.BLS_UnemployedPopulation.missing|Washington_RhodeIsland_UnitedStates.BLS_UnemploymentRate.data|Washington_RhodeIsland_UnitedStates.BLS_UnemploymentRate.missing|Washington_RhodeIsland_UnitedStates.BLS_LaborForcePopulation.data|Washington_RhodeIsland_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-02|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-03|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-04|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-05|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-06|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-07|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-08|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-09|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-10|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-11|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-12|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-13|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-14|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-15|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-16|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-17|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-18|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-19|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-20|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-21|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-22|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-23|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
0|2020-01-24|66259.5|0|2665.5|0|3.867247007616975|0|68925.0|0
