|dates|Johnson_Indiana_UnitedStates.BLS_EmployedPopulation.data|Johnson_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Johnson_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Johnson_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Johnson_Indiana_UnitedStates.BLS_UnemploymentRate.data|Johnson_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Johnson_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Johnson_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-02|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-03|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-04|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-05|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-06|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-07|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-08|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-09|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-10|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-11|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-12|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-13|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-14|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-15|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-16|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-17|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-18|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-19|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-20|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-21|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-22|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-23|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-24|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-25|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-26|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-27|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-28|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-29|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-30|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-01-31|81102.5|0|2426.5|0|2.904979109051946|0|83529.0|0
0|2020-02-01|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-02|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-03|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-04|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-05|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-06|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-07|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-08|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-09|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-10|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-11|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-12|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-13|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-14|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-15|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-16|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-17|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-18|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-19|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-20|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-21|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-22|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-23|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-24|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-25|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
0|2020-02-26|81253.5|0|2214.0|0|2.652529427621529|0|83467.5|0
