|dates|Gray_Texas_UnitedStates.BLS_EmployedPopulation.data|Gray_Texas_UnitedStates.BLS_EmployedPopulation.missing|Gray_Texas_UnitedStates.BLS_UnemployedPopulation.data|Gray_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Gray_Texas_UnitedStates.BLS_UnemploymentRate.data|Gray_Texas_UnitedStates.BLS_UnemploymentRate.missing|Gray_Texas_UnitedStates.BLS_LaborForcePopulation.data|Gray_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-02|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-03|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-04|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-05|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-06|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-07|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-08|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-09|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-10|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-11|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-12|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-13|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-14|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-15|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-16|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-17|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-18|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-19|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-20|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-21|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-22|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-23|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-24|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-25|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-26|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-27|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-28|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-29|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-30|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-01-31|7666.5|0|337.0|0|4.210657837196226|0|8003.5|0
0|2020-02-01|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-02|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-03|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-04|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-05|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-06|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-07|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-08|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-09|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-10|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-11|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-12|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-13|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-14|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-15|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-16|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-17|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-18|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-19|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-20|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-21|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-22|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-23|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-24|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-25|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-26|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-27|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-28|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-02-29|7703.0|0|318.5|0|3.970579068752727|0|8021.5|0
0|2020-03-01|7470.5|0|445.0|0|5.621881119322848|0|7915.5|0
0|2020-03-02|7470.5|0|445.0|0|5.621881119322848|0|7915.5|0
0|2020-03-03|7470.5|0|445.0|0|5.621881119322848|0|7915.5|0
