|dates|Franklin_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Franklin_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Franklin_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-02|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-03|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-04|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-05|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-06|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-07|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-08|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-09|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-10|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-11|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-12|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-13|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-14|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-15|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-16|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-17|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-18|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-19|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-20|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-21|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-22|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-23|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-24|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-25|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-26|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-27|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-28|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-29|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-30|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-01-31|24205.5|0|1011.0|0|4.009279638332044|0|25216.5|0
0|2020-02-01|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-02|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-03|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-04|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-05|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-06|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-07|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-08|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-09|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-10|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-11|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-12|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-13|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-14|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-15|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-16|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-17|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-18|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-19|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-20|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-21|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-22|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-23|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-24|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-25|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-26|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-27|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-28|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-02-29|24665.5|0|926.5|0|3.620271959987496|0|25592.0|0
0|2020-03-01|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-02|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-03|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-04|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-05|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-06|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-07|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-08|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-09|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-10|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
0|2020-03-11|24097.0|0|1102.5|0|4.375086807277922|0|25199.5|0
