|dates|Logan_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_Nebraska_UnitedStates.Male_Total_Population.data|Logan_Nebraska_UnitedStates.Male_Total_Population.missing|Logan_Nebraska_UnitedStates.Female_Total_Population.data|Logan_Nebraska_UnitedStates.Female_Total_Population.missing|Logan_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-30|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-01-31|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-02-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-08|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-09|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-10|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-11|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-12|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-13|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-14|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-15|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-16|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-17|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-18|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-19|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-20|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-21|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-22|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-23|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-24|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-25|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-26|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-27|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-28|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-29|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-30|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-03-31|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-01|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-02|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-03|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-04|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-05|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-06|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-07|169.0|0|396.0|0|353.0|0|194.0|0
0|2020-04-08|169.0|0|396.0|0|353.0|0|194.0|0
