|dates|Valencia_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Valencia_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Valencia_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Valencia_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Valencia_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Valencia_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Valencia_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Valencia_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-02|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-03|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-04|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-05|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-06|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-07|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-08|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-09|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-10|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-11|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-12|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-13|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-14|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-15|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-16|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-17|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-18|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-19|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
0|2020-01-20|29124.0|0|1642.5|0|5.338598800643557|0|30766.5|0
