|dates|Christian_Illinois_UnitedStates.BLS_EmployedPopulation.data|Christian_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Christian_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Christian_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Christian_Illinois_UnitedStates.BLS_UnemploymentRate.data|Christian_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Christian_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Christian_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-02|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-03|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-04|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-05|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-06|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-07|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-08|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-09|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-10|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-11|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-12|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-13|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-14|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-15|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-16|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-17|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-18|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
0|2020-01-19|13173.0|0|687.5|0|4.960138523141301|0|13860.5|0
