|dates|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cheyenne_Kansas_UnitedStates.Male_Total_Population.data|Cheyenne_Kansas_UnitedStates.Male_Total_Population.missing|Cheyenne_Kansas_UnitedStates.Female_Total_Population.data|Cheyenne_Kansas_UnitedStates.Female_Total_Population.missing|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Cheyenne_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-01-31|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-02-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-03-31|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-19|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-20|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-21|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-22|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-23|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-24|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-25|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-26|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-27|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-28|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-29|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-04-30|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-01|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-02|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-03|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-04|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-05|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-06|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-07|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-08|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-09|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-10|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-11|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-12|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-13|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-14|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-15|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-16|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-17|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-18|717.0|0|1348.0|0|1312.0|0|567.0|0
0|2020-05-19|717.0|0|1348.0|0|1312.0|0|567.0|0
