|dates|Jenkins_Georgia_UnitedStates.BLS_EmployedPopulation.data|Jenkins_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Jenkins_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Jenkins_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Jenkins_Georgia_UnitedStates.BLS_UnemploymentRate.data|Jenkins_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Jenkins_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Jenkins_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-02|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-03|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-04|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-05|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-06|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-07|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-08|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-09|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-10|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-11|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-12|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-13|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-14|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-15|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-16|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-17|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-18|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-19|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-20|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-21|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-22|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-23|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-24|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-25|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-26|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-27|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-28|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-29|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-30|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-01-31|3025.5|0|148.5|0|4.678638941398866|0|3174.0|0
0|2020-02-01|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-02|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-03|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-04|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-05|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-06|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-07|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-08|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-09|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-10|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-11|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-12|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-13|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-14|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
0|2020-02-15|3047.0|0|143.0|0|4.482758620689655|0|3190.0|0
