|dates|Garfield_Utah_UnitedStates.BLS_EmployedPopulation.data|Garfield_Utah_UnitedStates.BLS_EmployedPopulation.missing|Garfield_Utah_UnitedStates.BLS_UnemployedPopulation.data|Garfield_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Garfield_Utah_UnitedStates.BLS_UnemploymentRate.data|Garfield_Utah_UnitedStates.BLS_UnemploymentRate.missing|Garfield_Utah_UnitedStates.BLS_LaborForcePopulation.data|Garfield_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-02|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-03|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-04|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-05|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-06|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-07|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-08|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-09|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-10|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-11|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-12|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-13|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-14|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-15|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-16|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-17|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-18|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-19|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-20|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-21|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-22|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-23|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-24|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-25|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-26|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-27|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-28|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-29|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-30|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-01-31|1942.0|0|296.0|0|13.22609472743521|0|2238.0|0
0|2020-02-01|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-02|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-03|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-04|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-05|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-06|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-07|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-08|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-09|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-10|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-11|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-12|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-13|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-14|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-15|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-16|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-17|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-18|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-19|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-20|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-21|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-22|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-23|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-24|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-25|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-26|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-27|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-28|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-02-29|2057.5|0|283.0|0|12.091433454390087|0|2340.5|0
0|2020-03-01|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-02|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-03|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-04|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-05|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-06|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-07|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-08|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-09|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-10|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-11|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-12|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-13|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-14|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-15|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-16|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-17|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-18|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-19|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-20|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-21|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-22|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-23|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-24|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-25|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-26|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-27|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-28|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-29|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-30|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-03-31|2258.0|0|296.5|0|11.606968095517713|0|2554.5|0
0|2020-04-01|2044.5|0|683.5|0|25.0549853372434|0|2728.0|0
0|2020-04-02|2044.5|0|683.5|0|25.0549853372434|0|2728.0|0
