|dates|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Chase_Kansas_UnitedStates.Male_Total_Population.data|Chase_Kansas_UnitedStates.Male_Total_Population.missing|Chase_Kansas_UnitedStates.Female_Total_Population.data|Chase_Kansas_UnitedStates.Female_Total_Population.missing|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Chase_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-02|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-03|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-04|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-05|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-06|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-07|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-08|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-09|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-10|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-11|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-12|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-13|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-14|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-15|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-16|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-17|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-18|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-19|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-20|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-21|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-22|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-23|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-24|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-25|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-26|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-27|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-28|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-29|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-30|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-01-31|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-01|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-02|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-03|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-04|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-05|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-06|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-07|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-08|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-09|661.0|0|1338.0|0|1291.0|0|525.0|0
0|2020-02-10|661.0|0|1338.0|0|1291.0|0|525.0|0
